value,lots,source,keep
Saint-Estèphe,160,other,
Fixin,158,other,
Peel,158,other,
Tokaj,157,other,
Northern Rivers,156,other,
Langhe - Barolo,155,other,
Rapel Valley,155,other,
Queensland,154,other,
Whitlands,154,other,
Listrac,151,other,
Prosecco DOC,151,other,
McLaren Vale-Langhorne Creek,150,other,
Piemonte - Barbaresco,150,other,
Bienvenues-Batard-Montrachet,149,other,
Etna Rosso DOC,149,other,
Saint-Julien,149,other,
Conca de Barbera,148,other,
Monthelie,147,other,
Swan Valley,147,other,
Barossa-Eden Valley,146,other,
Kamptal,146,other,
Gippsland-Mornington Peninsula,145,other,
Mexico,145,other,
Chianti Classico Riserva,144,other,
Loire,143,other,
 Italia - Toscana,142,other,
Beaujolais-Villages,141,other,
Lalande-de-Pomerol,140,other,
Portugal,140,other,
South Western Victoria,140,other,
Portogallo - Porto,138,other,
Bas Armagnac,137,other,
Chinon,137,other,
Kremstal,137,other,
Sudtirol DOC,137,other,
Hunter-Coonawarra,135,other,
Savennieres,135,other,
Mentrida,134,other,
Venezia Giulia,133,other,
Chapelle-Chambertin,132,other,
Navarra,132,other,
Beaujolais,131,other,
Puisseguin-St-Emilion,131,other,
Swan Hill,131,other,
Muscat de Beaumes-de-Venise,130,other,
Spain,130,other,
Tennessee,130,other,
Vacqueyras,129,other,
Cadillac,128,other,
Ireland,128,other,
Rosso di Toscana IGT,128,other,
Rully,128,other,
Valdadige,128,other,
Baden,127,other,
Mount Lofty Ranges,127,other,
Western Victoria,127,other,
Russian River Valley,126,other,
Vino Nobile di Montepulciano,126,other,
Kayserberg/Kientzheim,125,other,
Pokolbin,125,other,
Fleurie,124,other,
La Grande Rue,124,other,
Campo de Borja,122,other,
Gattinara,122,other,
Russia,121,other,
Saumur,121,other,
Valle de Uco,121,other,
Romanee-Conti,120,other,
Barsac,119,other,
Colli Della Toscana Centrale IGT,118,other,
Bush Vines Grenache Mourvedre Shiraz,117,other,
Canon-Fronsac,116,other,
Clare-Eden Valley,115,other,
Cotes du Roussillon,115,other,
Moulis-en-Medoc,115,other,
Soave Classico,115,other,
Lussac-St-Emilion,114,other,
Bourgogne Aligote,113,other,
McLaren Vale-Hunter Valley,113,other,
Bordeaux / Saint-Émilion,111,other,
Cyprus,111,other,
Keppoch,111,other,
Sudtirol,111,other,
Eden Valley/Adelaide Hills,110,other,
McLaren Vale-Clare Valley,110,other,
Fleurieu,109,other,
Provincia di Pavia IGT,109,other,
Greece,108,other,
Lirac,108,other,
Terre Siciliane IGT,108,other,
Vin De Pays De Vaucluse,108,other,
Eden-Clare Valley,107,other,
Beaune-Teurons,105,other,
Bourgogne Hautes Cotes de Beaune,105,other,
Bourgogne Cote-D'Or,104,other,
Alexander Valley,103,other,
Francia - Sauternes,103,other,
Sydney,103,other,
Colli Orientali del Friuli DOC,101,other,
Flaxman Valley,101,other,
Umbria,101,other,
Aconcagua Valley,100,other,
Castel del Monte,100,other,
Valdeorras,100,other,
Arbois,99,other,
Saumur-Champigny,99,other,
Bordeaux Rouge,98,other,
Collio DOC,97,other,
Coonawarra-McLaren Vale,97,other,
Cremant d'Alsace,97,other,
Dolcetto di Dogliani,97,other,
Langhe - Barbaresco,97,other,
Montsant,97,other,
Mount Gambier,97,other,
Volnay-Caillerets,97,other,
La Mancha,96,other,
Riverina-King Valley,96,other,
Columbia Valley,95,other,
Kalimna,95,other,
Poland,95,other,
Bordeaux / Sauternes,93,other,
Montagne-St-Emilion,91,other,
White Solera Revolution,91,other,
Albury,90,other,
Chile,90,other,
Hunter Valley & McLaren Vale,90,other,
Wairarapa,90,other,
Bolgheri - Super Tuscan,89,other,
Corton-Bressandes,89,other,
Macon-Villages,89,other,
Montepulciano d'Abruzzo DOC,89,other,
Bordeaux / Médoc,88,other,
Tokaj-Hegyalja,88,other,
Barossa Valley-Coonawarra,87,other,
Cotes-du-Ventoux,87,other,
Hilltops NSW,87,other,
Veneto - Amarone della Valpolicella,87,other,
 Italia - Chianti,86,other,
Rhône / Côtes-du-Rhône,86,other,
USA - Whisky,86,other,
Wettolsheim,86,other,
Austria,85,other,
Bourgogne Hautes Cotes de Beaune Sous Eguisons,85,other,
Emilia Romagna,85,other,
Grande Champagne Cognac,85,other,
Central Coast,83,other,
Petit Chablis,83,other,
Malaga,82,other,
Mazoyeres Chambertin,82,other,
Auxey-Duresses,81,other,
Clare-McLaren Vale,81,other,
Polish Hill River,81,other,
Barbera d'Asti,80,other,
Franciacorta DOCG,80,other,
Languedoc-Roussillon,80,other,
Santa Barbara,80,other,
Soave,80,other,
St-Romain,80,other,
Anderson Valley,79,other,
Barossa-Coonawarra,79,other,
Constantia,79,other,
Francia - Armagnac,79,other,
Friuli Venezia Giulia,79,other,
Southern Fleurieu,79,other,
Adelaide Hills-McLaren Vale,78,other,
Bordeaux / Saint-Estèphe,78,other,
Fleurie AOC,78,other,
La Court,78,other,
La Justice,78,other,
Quarts de Chaume,78,other,
Tessin,77,other,
Barossa Valley-McLaren Vale,76,other,
Fine Champagne,76,other,
Cote Chalonnaise,75,other,
Beaune-Marconnets,74,other,
Campania IGT,74,other,
Moscato d'Asti DOCG,74,other,
Moulis-en-Médoc,74,other,
Soave DOC,74,other,
Vino de la Tierra de Castilla,74,other,
Colio DOC,73,other,
Cotes de Gascogne,73,other,
Cotes de Luberon,73,other,
U.S.A.,73,other,
United Kingdom,73,other,
Bolgheri,72,other,
Niagara Peninsula,72,other,
Perth Hills,72,other,
Corton-Pougets,71,other,
Corton-Renardes,71,other,
Le Montrachet,71,other,
Madiran,71,other,
Meursault-Blagny,71,other,
Pommard-Rugiens,71,other,
 Italia - Amarone della Valpolicella,70,other,
Saar,70,other,
Saint-Émilion,70,other,
Trentino,70,other,
 Italia - PIEMONTE,69,other,
Cote-de-Brouilly,69,other,
Oz Opera's Schools Program Charity,69,other,
Savoie,69,other,
Montilla-Moriles,68,other,
Sicilia,68,other,
Vigneti Delle Dolomiti IGT,68,other,
Central Highlands NSW,67,other,
Montefalco,67,other,
Northland,67,other,
 Italia - Sforzato di Valtellina,66,other,
Margaret River-Mount Barker,66,other,
Mt. Veeder,66,other,
Pays d'Oc IGP,66,other,
Rosso di Montalcino,66,other,
Touraine,66,other,
Beaune-Bressandes,65,other,
McLaren Flat,65,other,
Pic-St-Loup,65,other,
Premieres Cotes de Bordeaux,65,other,
Western Cape,65,other,
Clos de Tart,64,other,
Currency Creek,64,other,
Lebanon,64,other,
Valpolicella Classico,64,other,
Coonawarra-Eden Valley,63,other,
New England,63,other,
North Otago,63,other,
Piemonte DOC,63,other,
Clos des Lambrays,62,other,
Cotes du Roussillon Villages,62,other,
Mediterranee IGP,62,other,
Neusiedlersee,62,other,
Paso Robles,62,other,
Santa Maria Valley,62,other,
Vin de Pays de L'Herault,62,other,
Wilyabrup,62,other,
Yecla,62,other,
Blanc de Blancs Brut,61,other,
Faugeres,61,other,
London,61,other,
Maipo Valley,61,other,
Morellino di Scansano DOCG,61,other,
Orange/Mudgee,61,other,
Swartland,61,other,
Vine Vale,61,other,
Yea Valley,61,other,
Bendigo-Heathcote,60,other,
Billard,60,other,
Calabria,60,other,
California / Napa Valley,60,other,
Jurancon,60,other,
Priorat DOCa,60,other,
Heathcote/Mclaren Vale,59,other,
Maotai,59,other,
Meursault-Poruzots,59,other,
Oregon,59,other,
Primitivo di Manduria,59,other,
Rhône / Châteauneuf-du-Pape,59,other,
Coteaux d'aix en Provence,58,other,
Francia - Rodano,58,other,
Skye,58,other,
Sudsteiermark,58,other,
Valpolicella Superiore,58,other,
Vin de Pays des Collines Rhodaniennes,58,other,
Bergheim,57,other,
Bourgogne / Côte-d’Or,57,other,
Coonawarra-Clare,57,other,
Delle Venezie,57,other,
Southern Flinders,57,other,
Valtellina Superiore,57,other,
Vino da Tavola,57,other,
Armagnac,56,other,
Bordeaux / Saint-Julien,56,other,
Colli Orientali del Friuli,56,other,
Cuba,56,other,
Undicicomuni,56,other,
