value,lots,source,keep
grand cru (rouge),4,other,
grand cru classé (1),4,other,
grand cru exceptionel,4,other,
1er Cru Aux Beaux Bruns,3,other,
"1er Grand Crú, Graves",3,other,
4è grand cru classé,3,other,
5me cru classe Cruse bottling,3,other,
Alsace Grand Cru,3,other,
Criots-Batard-Montrachet Grand cru,3,other,
Grand Cru Blanc St-Emilion,3,other,
Haut-Médoc - Cru Bourgeois,3,other,
"Haut-Mëdoc, Cru Bourgeois",3,other,
"Margaux, 1er Grand Cru Classe",3,other,
Mazy-Chambertin Grand Cru,3,other,
Meursault 1er Cru Poruzots,3,other,
"Médoc, Cru Bourgeois Supérieur",3,other,
Nuits-Saint-George Argillieres 1er Cru,3,other,
Pauillac 1er Grand Cru Classé,3,other,
"Pauillac,  2ème Grand Cru Classé",3,other,
"Pauillac, 1er Grand cru Classé",3,other,
"Pauilliac, 5ème Grand Cru Classé",3,other,
Pernand-Vergelesses 1er Cru,3,other,
"Pessac- Léognan, 1er Grand Cru Classé",3,other,
"Saint Julien, 2ème Grand Cru Classé",3,other,
Saint-Estèphe 2ème Grand Cru Classé,3,other,
Saint-Émilion Grand Cru Classé B,3,other,
"Saint-Émilion Grand Cru, 2nd wine Ch. Figeac",3,other,
"Saint-Éstephe, 2ème Grand Cru Classé",3,other,
grand cru (4),3,other,
grand cru (6),3,other,
grand cru (Comtes de Neipperg),3,other,
grand cru classé (B),3,other,
second wine of Belair-Monange Grand Cru,3,other,
1er Cru Chassagne-Montrachet,2,other,
4ME CRU CLASSE CHATEAU DE CLAIREFONT,2,other,
ANNE-MARIE) Grand Cru,2,other,
"Barsac, 1er Greand Cru Classé",2,other,
"Bordeaux, Grand Cru Exceptionnel",2,other,
Grand Cru Mazis-Chambertin,2,other,
"Haut-Médoc, Cru Bourgeois Supérieur",2,other,
Margaux Grand Cru Classé,2,other,
"Margaux, Cru Bourgeois Exceptionnel",2,other,
"Margaux, Cru Bourgeois Supérieur",2,other,
"Medoc, Cru Bourgeois",2,other,
"Pauilac, 5ème Grand Cru Classé",2,other,
"Pauillac, 2ième Grand Cru Classé",2,other,
"Pauillac, 5ème Grand Cru Classé Médoc",2,other,
"Pessac-Léognan, Grand Cru Classé",2,other,
Premier Cru,2,other,
"Saint Émilion, 1er Grand Cru Classé B",2,other,
Saint-Estèphe 2eme Grand Cru,2,other,
"Saint-Estèphe,4ème Grand Cru Classé",2,other,
"Saint-Julien, 2ème Grand Cru",2,other,
"Saint-Émilion Grand Cru, 2nd Wine of Ch. Troplong Mondot",2,other,
"Saint-Émilion Grand Cru, 2nd wine Château Cheval Blanc",2,other,
"Saint-Émilion Grand Cru, 2nd wine Clos Fourtet",2,other,
"Saint-Émilion Grand Cru, 2nd wine of CH. Troplong Mondot",2,other,
"Saint-Émilion Grand Cru, 2nd wine of Ch. Bélair-Monange",2,other,
"Saint-Émilion Grand Cru, 2nd wine of Château Troplong Mondot",2,other,
"Saint-Émilion, 1er Grand Cru Classe A",2,other,
"Saint-Émilion, Grand Cru Classé B",2,other,
"Saint-Éstephe, 4ème Grand Cru Classé",2,other,
St-Aubin 1er Cru,2,other,
grand cru (1),2,other,
grand cru (2),2,other,
grand cru (Alain Vauthier von Ch. Ausone),2,other,
grand cru (J.L. Thunevin),2,other,
grand cru classé (2),2,other,
1er Cru Superieur 2005,1,other,
1er cru Meursault-Genevrieres,1,other,
2e grand cru classé,1,other,
3me cru classe Schroder & Schyler bottling,1,other,
4e grand cru classe,1,other,
Bienvenues Batard Montrachet Grand Cru,1,other,
CRU BOURGEOIS Le Bordeaux de Macaillou Bordeaux Superieur,1,other,
CRU CLASSE,1,other,
Charmes Chambertin Grand Cru,1,other,
Clos de Vougeot Grand Cru Petit Maupertuis,1,other,
Corton Grand Cru - Borgogna,1,other,
Cru Bourgeois Superieur Blanc,1,other,
GRAND CRU Le Medaillon d'Abdon Bechade,1,other,
"Gevrey Chambertin ""Belair"" 1er cru",1,other,
Grand Cru Chambertin,1,other,
Grand cru Domaine Leroy,1,other,
"Graves, 1er Grand Cru Classé",1,other,
"Graves, Premier Cru",1,other,
Haut-Médoc 3ème Grand Cru Classé,1,other,
"Louis Latour, Corton Grand Cru",1,other,
"Margux, 3ème Grand Cru Classé",1,other,
