value,lots,source,keep
Delas Frères,73,other,
"Joseph Drouhin, Beaune",73,other,
Long Depaquit - Albert Bichot,73,other,
Patrick Piuze,73,other,
Vincent et Sophie Morey,73,other,
"Domaine Henri Boillot, Meursault",72,other,
"Domaine Michelot, Meursault",72,other,
En Belles Lies,72,other,
L'Anglore,72,other,
René Bouvier,72,other,
Combier,71,other,
"Domaine Didier Dagueneau, Saint Andelain",71,other,
J.L. Thunevin,71,other,
"Krug, Reims",71,other,
Bottled in 1996,70,other,
Hérve Ferté de Partenay,70,other,
"Château Rayas, Châteauneuf-du-Pape",69,other,
Comte Georges de Vogüé,69,other,
Confuron-Cotetidot,69,other,
Cos d'Estournel,69,other,
Domaine Giraud,69,other,
Joseph Colin,69,other,
Massena,69,other,
Robert Chevillon,69,other,
Bottled in 1985,68,other,
Clarendon Hills,68,other,
"Egon Müller, Mosel",68,other,
Greenock Creek,68,other,
Tenuta dell'Ornellaia,68,other,
Calonge,67,other,
David Duband,67,other,
Gaja,67,other,
Jean Trapet et fils,67,other,
La Grande Colline (Jonathan Jacquart),67,other,
Pierre Usseglio,67,other,
Bertagna,66,other,
Bottled in 2011,66,other,
Denis Mortet,66,other,
Domaine Comte de V ogüé,66,other,
Bastian Wolber,65,other,
"Bodegas Vega-Sicilia, Valladolid",65,other,
Charles Noëllat,65,other,
Château Beaucastel,65,other,
"Clos Saint Jean, Châteauneuf-du-Pape",65,other,
Clos du Mont-Olivet,65,other,
Coquard Loison-Fleurot,65,other,
"Domaine Georges Joillot, Pommard",65,other,
Domaine de Villaine,65,other,
Giacomo Conterno,65,other,
Heitz Wine Cellars,65,other,
Henri Bonneau & Fils,65,other,
Nicole Lamarche (Anciennement François Lamarche),65,other,
"Pauillac, 2nd wine Ch. Lynch-Bages",65,other,
Simon Bize et Fils,65,other,
Anne Boisson,64,other,
Bruno Clavelier,64,other,
Chateau Lynch-Bages,64,other,
Clos des Vignes du Maynes,64,other,
Comte Senard,64,other,
"David Duband, Chevannes",64,other,
"Louis Max, Nuits-Saint-Georges",64,other,
Bernard Moreau et Fils,63,other,
Bruno Giacosa,63,other,
Côtes de Bourg,63,other,
"Domaine Michel Niellon, Chassagne-Montrachet",63,other,
Giuseppe Quintarelli,63,other,
Gonon,63,other,
"Maison Jean-Claude Guyaux, Beaune",63,other,
Tunnel,63,other,
Buller Wines,62,other,
Camille & Laurent Schaller,62,other,
Mas Doix,62,other,
Michel Bouzereau et Fils,62,other,
Montagne-Saint-Émilion,62,other,
Olivier Guyot,62,other,
Clos du Caillou,61,other,
Jean-Luc Colombo,61,other,
Joseph Roty,61,other,
La Clape,61,other,
Peter Michael Winery,61,other,
Vignobles Comtes de Neipperg,61,other,
Bonneau du Martray,60,other,
Charles Lachaux,60,other,
"Cloudburst Wines, Margaret River",60,other,
"Domaine Philippe Chavy, Puligny-Montrachet",60,other,
Monier Perréol,60,other,
"Olivier Leflaive, Puligny-Montrachet",60,other,
Provins,60,other,
"Sorelle di Nicola, Alba",60,other,
Charvin,59,other,
Colgin,59,other,
"Domaine Arlaud, Morey-Saint-Denis",59,other,
"Domaine Bergeret Christian et Fille, Nolay",59,other,
Domaine De Chevalier,59,other,
Domaine E. Guigal,59,other,
"Domaine Ponsot, Morey-Saint-Denis",59,other,
Guy Amiot et Fils,59,other,
Ch. Haut Brion,58,other,
Chateau Margaux,58,other,
Château Suduiraut,58,other,
"Giacomo Conterno, Monforte d'Alba",58,other,
Louis Michel et Fils,58,other,
Maison Skyaasen,58,other,
Alexandra Couvreur,57,other,
Baron Philippe de Rohtschild,57,other,
Bottled in 2003,57,other,
Dom Perignon,57,other,
"Domaine Pierre Girardin, Meursault",57,other,
"Domaine Ramonet, Chassagne-Montrachet",57,other,
Gros Frère & Soeur,57,other,
Henri Clerc,57,other,
Marquis d'Angerville,57,other,
McLaren Vale/Langhorn Creek,57,other,
"Pierre-Yves Colin-Morey, Chassagne-Montrachet",57,other,
Ridge Vineyards,57,other,
Sine Qua Non (3),57,other,
Bottled in 1993,56,other,
Bottled in 2000,56,other,
"Domaine Georges Mugneret-Gibourg, Vosne-Romanée",56,other,
La Chablisienne,56,other,
Bottled in 2001,55,other,
Daniel & Martha Gantenbein,55,other,
"Domaine Charles Thomas, Nuits-Saint Georges",55,other,
Premières Côtes de Bordeaux,55,other,
Stéphane Ogier,55,other,
Ch. Latour,54,other,
Chateau Pavie,54,other,
Chateau Pontet-Canet,54,other,
Château Angélus,54,other,
"Margaux, 2nd wine Ch. Margaux",54,other,
Chateau Mouton Rothschild,53,other,
Château Beychevelle,53,other,
"Domaine Rostaing, Ampuis",53,other,
Saint Cosme,53,other,
"Albert Bichot - Domaine du Clos Frantin, Nuits-Saint-Georges",52,other,
Aubert Wines,52,other,
Chateau Lafite Rothschild,52,other,
Château Brane-Cantenac,52,other,
Henri Gouges,52,other,
Jean-Claude Boisset,52,other,
Laroche,52,other,
"Marchand-Tawse, Nuits-Saint-Georges",52,other,
Moët & Chandon,52,other,
Vincent Dureuil-Janthial,52,other,
Bart,51,other,
Château Cheval Blanc,51,other,
Clos d’Agon,51,other,
"Domaine Denis Bachelet, Gevrey-Chambertin",51,other,
Domaine Dujac,51,other,
"Lucien le Moine, Beaune",51,other,
Opus One,51,other,
Tortochot,51,other,
Blain-Gagnard,50,other,
"Domaine Forey Père et Fils, Vosne-Romanée",50,other,
Domaine Leflaive,50,other,
Fanny Sabre,50,other,
Gabriel et Paul Jouard,50,other,
Bottled in 1987,49,other,
Château Ausone,49,other,
Château Carbonnieux,49,other,
Château Dauzac,49,other,
"Domaine Camus Père & Fils, Gevrey-Chambertin",49,other,
"Domaine Jacques-Frederic Mugnier, Chambolle-Musigny",49,other,
"Dominio de Pingus, Ribera del Duero",49,other,
Gilbert Picq et Fils,49,other,
"Alain Brumont, Madiran",48,other,
"Azienda Agricola Giacomo Vico, Canale",48,other,
Bodegas Vega Sicilia,48,other,
Bouchard Pere et Fils,48,other,
"Catena Zapata - Adrianna Vineyard, Gualtallary",48,other,
Chateau Latour,48,other,
Comtes Lafon,48,other,
Domaine Bizot,48,other,
Domaine Faiveley,48,other,
Domaine de Marcoux,48,other,
Hudelot-Noellat,48,other,
Martha und Daniel Gantenbein,48,other,
"Albino Rocca, Barbaresco",47,other,
"Bruno Giacosa, Neive",47,other,
Bryant Family,47,other,
Domaine Graillot,47,other,
"Domaine Matrot, Meursault",47,other,
"Domaine Potinet Ampeau, Monthelie",47,other,
Domaine du Coulet,47,other,
Henri Germain & fils,47,other,
Le Macchiole,47,other,
"Margaux, 2nd wine Ch. Palmer",47,other,
Clos Fourtet,46,other,
Diamond Creek Vineyards,46,other,
Domaine Comte de Vogüé,46,other,
"Domaine Humbert Frères, Gevrey-Chambertin",46,other,
"Domaine Philippe Germain, Nantoux",46,other,
François Bertheau,46,other,
Pessac-Léognan Rouge,46,other,
Robert Mondavi Winery,46,other,
Roche de Bellene,46,other,
"Tesseron Estate, Napa Valley",46,other,
Two Hands,46,other,
"Weingut Trummer, Sudsteiermark",46,other,
Bodegas Artadi,45,other,
Charlopin-Parizot,45,other,
Château de La Tour,45,other,
"Domaine Armand Rousseau, Gevrey-Chambertin",45,other,
Domaines Rothschild,45,other,
"Hospices de Beaune - Albert Bichot, Beaune",45,other,
Mayard (Domaine),45,other,
rouge,45,other,
Armand Heitz,44,other,
Château Canon,44,other,
"Domaine Cachat-Ocquidant et Fils, Ladoix-Serrigny",44,other,
Domaine Georges Roumier,44,other,
Dujac Fils et Père,44,other,
Gallety,44,other,
Henri de Villamont,44,other,
"Maison Leroy, Auxey-Meursault",44,other,
Michèle et Patrice Rion,44,other,
"Speyside, Scotland",44,other,
"Thomas Morey, Chassagne-Montrachet",44,other,
"Vinedos de Paganos, Rioja",44,other,
A. Brumont,43,other,
"Bodegas Vega Sicilia, Ribera del Duero",43,other,
Château Margaux,43,other,
"Domaine David Duband, Chevannes",43,other,
"Domaine des Perdrix, Nuits-Saint-Georges",43,other,
"Domaine du Comte Liger-Belair, Vosne-Romanée",43,other,
Domaines Silvio Denz,43,other,
"Giuseppe Rinaldi, Barolo",43,other,
Henri Rebourseau,43,other,
"Hospices de Beaune, Dufouleur Père et Fils",43,other,
Jean-Jacques Confuron,43,other,
"Koehler-Ruprecht, Pfalz",43,other,
Mongeard-Mugneret,43,other,
"Moët & Chandon, Épernay",43,other,
Taîn Hermitage,43,other,
VdP des Bouches du Rhône,43,other,
"Viticcio, Chianti",43,other,
Azienda Montepeloso,42,other,
Boisson-Vadot,42,other,
Chateau Cos d'Estournel,42,other,
Chateau Montelena Winery,42,other,
Château Cantenac Brown,42,other,
Des Bosquets,42,other,
"Domaine Denis Race, Yonne",42,other,
Domaine Moreau-Naudet,42,other,
"Domaine Prieuré Roch, Nuits-Saint-Georges",42,other,
"Domaine Vincent & Sophie Morey, Chassagne-Montrachet",42,other,
Dominio de Pingus,42,other,
"Dominio del Águila, La Aguilera",42,other,
Dominique Lafon,42,other,
Follin-Arbelet,42,other,
Marc Sorrel,42,other,
Marchand-Tawse,42,other,
Montepeloso,42,other,
Morey-Blanc,42,other,
Mád,42,other,
Pahlmeyer,42,other,
Paolo Scavino,42,other,
"Pierre Gonon, Mauves",42,other,
"Argiano, Montalcino",41,other,
Beaurenard,41,other,
Bottled in 1989,41,other,
Bottled in 1998,41,other,
Castello di Ama,41,other,
Château Branaire Ducru,41,other,
Domaine Bonnefond,41,other,
"Domaine Charlopin Tissier, Morey-Saint-Denis",41,other,
"Domaine Forey Père & Fils, Vosne-Romanée",41,other,
"Domaine Marquis d'Angerville, Volnay",41,other,
Domaine de Saulx,41,other,
Fabien Coche,41,other,
Jasmin,41,other,
Noël Ramonet,41,other,
"Bodegas y Viñedos Artadi, Laguardia",40,other,
Camille Giroud,40,other,
Château Palmer,40,other,
"Compañia Vinicola del Norte España, Laguardia",40,other,
"Domaine Lignier-Michelot, Morey-Saint-Denis",40,other,
"Domaine Tollot-Beaut, Chorey-les-Beaune",40,other,
Domaine des Lambrays,40,other,
"Jacques Selosse, Avize",40,other,
Jean-Luc Jamet,40,other,
Larios,40,other,
Maison Lucien Le Moine,40,other,
Morlet Family Vineyards,40,other,
Olivier Bernstein,40,other,
"Tua Rita, Suvereto",40,other,
Adrien Lattard,39,other,
Aurélien et Charlotte Houillon,39,other,
"Bodegas Vega-Sicilia, Ribera del Duero",39,other,
"Cappellano, Serralunga d'Alba",39,other,
Château Chasse Spleen,39,other,
Château Climens,39,other,
Clair Daü,39,other,
Comtes Neipperg,39,other,
Domaine de Cristia,39,other,
"Domaine des Croix, Beaune",39,other,
"Favia Wines, Napa Valley",39,other,
Garon,39,other,
Génot-Boulanger,39,other,
"Julien Sunier, Avenas",39,other,
"M. Chapoutier, Tain l'Hermitage",39,other,
"Maison Leroy, Auxey-Duresses",39,other,
Marchesi Antinori,39,other,
Montevertine,39,other,
Peirazeau (Domaine),39,other,
Ridge Winery,39,other,
Samuel Billaud,39,other,
"Altesino, Montalcino",38,other,
Bernard Van Berg,38,other,
"Casanova di Neri, Montalcino",38,other,
Domaine Henri Rebourseau,38,other,
"Domaine Jacques Prieur, Meursault",38,other,
"Domaine Leroy, Vosne-Romanée",38,other,
Domaine Ponsot,38,other,
"Domaine René Rostaing, Ampuis",38,other,
Domaine de la Romanee-Conti,38,other,
Fonseca,38,other,
"Fontodi, Panzano in Chianti",38,other,
"Le Vieux Donjon, Pressigny-les-Pins",38,other,
Bodegas J. Ferris,37,other,
Ch. Palmer,37,other,
Château de Meursault,37,other,
Didon,37,other,
"Domaine de La Janasse, Courthézon",37,other,
Domaine du Pavillon - Albert Bichot,37,other,
François Carillon,37,other,
Leroy,37,other,
Listrac-en-Médoc,37,other,
"Petrolo, Bucine",37,other,
Alejandro Fernandez,36,other,
Antoine Jobard,36,other,
Berthaut Gerbet (Domaine),36,other,
Bottled in 1984,36,other,
"Chappellet Vineyard, St. Helena",36,other,
Chateau Haut-Brion,36,other,
Chateau Montrose,36,other,
Christian Moreau,36,other,
Château Cantemerle,36,other,
Château Desmirail,36,other,
Château Léoville Las Cases,36,other,
Château Pavie,36,other,
Château Talbot,36,other,
Courbis,36,other,
Domaine Dubreuil-Fontaine,36,other,
Guillaume Gilles,36,other,
Rothschild/Mondavi,36,other,
Tenuta Argiano,36,other,
Armelle et Bernard Rion,35,other,
Baron Edmond de Rothschild,35,other,
Benoît Moreau (Domaine),35,other,
Chateau Lascombes,35,other,
"Chateau Pichon-Longueville, Comtesse de Lalande",35,other,
Château Certan Giraud,35,other,
De Cassiopée,35,other,
Domaine Michel Bouzereau,35,other,
Falesco,35,other,
"Giorgio Pelissero, Treiso",35,other,
Jean-Claude & Romain Bessin,35,other,
Kistler-Vineyards,35,other,
Luciano Sandrone,35,other,
"Maison M. Chapoutier, Tain-l'Hermitage",35,other,
Marc Rougeot-Dupin,35,other,
"Weingut Alexander Gysler, Rheinhessen",35,other,
Biondi Santi,34,other,
Blaye Côtes de Bordeaux,34,other,
Bodega y Vinedos V ega Sicilia,34,other,
"Bordeaux, 3rd wine Ch. Pavie",34,other,
Bottled in 2007,34,other,
Bottled in 2015,34,other,
Casanova di Neri,34,other,
Castillon Côtes de Bordeaux,34,other,
Chateau Ducru-Beaucaillou,34,other,
Coffinet-Duvernay,34,other,
Comte Armand,34,other,
"Domaine Auguste Clape, Cornas",34,other,
"Domaine Robert Groffier Père & Fils, Morey-Saint-Denis",34,other,
Domaine d'Eugénie (René Engel),34,other,
Domaines Comtes Lafon,34,other,
Dominus,34,other,
François Mikulski,34,other,
"Gérard Raphet, Morey-Saint-Denis",34,other,
Hundred Acre Winery,34,other,
Jean Grivot,34,other,
Pessac-Léognan Blanc,34,other,
Pinson Frères,34,other,
Rothschild & Concha y Toro,34,other,
Sainte-Foy Cotes de Bordeaux,34,other,
"Selbach-Oster, Mosel",34,other,
"Tenute di Nozzole - Ambrogio e Giovanni Folonari, Greve in Chianti",34,other,
Vignobles Silvio Denz,34,other,
"Viña Seña, Aconcagua Valley",34,other,
"Canalicchio, Montalcino",33,other,
Chateau Leoville Poyferre,33,other,
Château l'Évangile,33,other,
"Domaine Bruno Clair, Marsannay-la-Côte",33,other,
"Domaine Comte Senard, Aoxe-Corton",33,other,
"Domaine Guy Amiot et Fils, Chassagne-Montrachet",33,other,
"Domaine Jean-Marc Millot, Nuits-Saint-Georges",33,other,
"Domaine Morey-Coffinet, Chassagne-Montrachet",33,other,
Domaine R. Rostaing,33,other,
"Domaine Tawse, Gevrey-Chambertin",33,other,
"Domaine du Couvent, Gevrey-Chambertin",33,other,
"Giacose Fratelli, Neive",33,other,
"Ichiro's Malt, Japan",33,other,
Krug,33,other,
Lignier-Michelot,33,other,
"Pessac-Léognan, 2nd wine Ch. Haut-Brion",33,other,
Château Boyd-Cantenac,32,other,
Château Calon Ségur,32,other,
"Château La Nerthe, Châteauneuf-du-Pape",32,other,
"Conterno Fantino, Monforte d'Alba",32,other,
Domaine Ballot Millot & Fils,32,other,
Domaine Bernard Dugat-Py,32,other,
Domaine Donatsch,32,other,
"Domaine Mee Godard, Vilié-Morgon",32,other,
Domaine Ramonet,32,other,
"Domaine Rossignol-Trapet, Gevrey-Chambertin",32,other,
Duroché,32,other,
IGP Saint-Guilhem-le-Desert,32,other,
Jean Noël Gagnard,32,other,
